url,name,price,availability,image,store,error
https://www.mironet.cz/apple-iphone-17-pro-512gb-stribrna-63-12gb-512gb-ios26+dp773763/,Apple iPhone 17 Pro 512GB stříbrná,"37490,-",Skladem,https://www.mironet.cz/Foto/s4/93110526.jpg,mironet,
https://www.alza.cz/iphone-17-pro-256gb-stribrna-d13078788.htm,iPhone 17 Pro 256GB stříbrná,"32990,-",Skladem,https://image.alza.cz/products/RI055b3/RI055b3.jpg,alza,
https://www.alza.cz/samsung-galaxy-s25-12gb-256gb-blueblack-d12981191.htm,Samsung Galaxy S25 12GB/256GB Blueblack,"19990,-",Skladem,https://image.alza.cz/products/SAMO0269c5/SAMO0269c5.jpg,alza,
https://www.datart.cz/mobilni-telefon-apple-iphone-17-pro-256gb-stribrny-mg8g4sx-a,Mobilní telefon Apple iPhone 17 Pro 256GB stříbrný (MG8G4SX/A),"32990,-",Skladem,https://image.datart.cz/foto/250/4/3/8/product_7766834.jpg,datart,
